>UP
UP
Upload #9
Reader: Noname  Site: SE3
--------- upload 9 start ---------
Type,Date,Time,Duration,Type,Tag ID,Count,Gap
D,2021-01-23,21:56:50.55,00:00:00.00,HA,900_226001032275,1,2
D,2021-01-23,21:56:51.75,00:00:00.00,HA,900_226001032275,1,1
D,2021-01-23,21:56:52.26,00:00:00.10,HA,900_226001032275,2,4
D,2021-01-23,21:57:03.25,00:00:00.00,HA,900_226001032275,1,117
D,2021-01-23,21:57:03.95,00:00:00.00,HA,900_226001032275,1,6
D,2021-01-23,21:57:04.27,00:00:00.00,HA,900_226001032275,1,2
D,2021-01-27,08:03:41.10,00:00:00.00,HA,900_226001032103,1,
D,2021-01-27,08:03:41.30,00:00:00.00,HA,900_226001032103,1,1
D,2021-01-27,08:03:41.71,00:00:00.20,HA,900_226001032103,3,3
D,2021-01-27,08:03:42.11,00:00:00.00,HA,900_226001032103,1,1
D,2021-01-27,08:03:42.51,00:00:00.00,HA,900_226001032103,1,3
D,2021-01-27,08:03:43.71,00:00:00.00,HA,900_226001032103,1,1
D,2021-01-27,15:02:41.21,00:00:00.00,HA,900_226001032103,1,
D,2021-01-27,15:02:41.41,00:00:00.10,HA,900_226001032103,2,1
D,2021-01-27,15:02:41.92,00:00:00.00,HA,900_226001032103,1,3
D,2021-01-27,15:02:42.23,00:00:00.00,HA,900_226001032103,1,2
D,2021-01-28,06:46:38.77,00:00:00.00,HA,900_226001032172,1,
D,2021-01-28,06:46:38.97,00:00:00.00,HA,900_226001032172,1,1
D,2021-01-28,06:46:39.49,00:00:00.00,HA,900_226001032172,1,4
D,2021-01-29,04:31:06.98,00:00:00.10,HA,900_226001032275,2,
D,2021-02-03,04:11:43.95,00:00:00.00,HA,900_226001032275,1,
D,2021-02-03,04:11:44.36,00:00:00.00,HA,900_226001032275,1,3
D,2021-02-04,23:52:09.87,00:00:00.00,HA,900_226001032275,1,
D,2021-02-08,05:19:39.86,00:00:00.00,HA,900_226001032275,1,
D,2021-02-12,20:39:12.40,00:00:00.00,HA,900_226001032275,1,
D,2021-02-12,20:39:12.70,00:00:00.00,HA,900_226001032275,1,2
D,2021-02-12,20:39:12.90,00:00:00.10,HA,900_226001032275,2,1
D,2021-02-12,20:39:13.71,00:00:00.00,HA,900_226001032275,1,6
D,2021-02-12,20:39:13.91,00:00:00.21,HA,900_226001032275,3,1
D,2021-02-12,20:39:14.32,00:00:00.10,HA,900_226001032275,2,1
D,2021-02-12,20:39:14.72,00:00:00.10,HA,900_226001032275,2,2
D,2021-02-12,20:39:15.14,00:00:00.30,HA,900_226001032275,4,2
D,2021-02-13,17:13:00.92,00:00:00.00,HA,900_226001032172,1,
D,2021-02-13,17:13:01.13,00:00:00.20,HA,900_226001032172,3,1
D,2021-02-13,17:13:01.53,00:00:00.10,HA,900_226001032172,2,1
--------- upload 9 done ---------
191 records

>
