"DTY"	"ARR"	"TRF"	"DUR"	"TTY"	"TAG"	"SCD"	"NCD"	"EFA"	"TCH"	"ANT"	"EMP"	"TSS"	"SPV"	"NOI"	"CLS"
"S"	2020-08-11 13:46:51	"G"	00:00:01.8	"R"	"0000_0000000168273013"	"upstream"	19	0.9	"HDX"	"A1"	636	"487/512"	1377	345	" E "
"S"	2020-08-11 13:46:55	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	17	"469/469"	1376.5	323	" E "
"S"	2020-08-11 13:46:57	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	19	"447/447"	1377.5	314	" E "
"S"	2020-08-11 13:47:04	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	1	"HDX"	"A1"	68	"462/462"	1378	323	" E "
"S"	2020-08-11 13:47:29	"G"	00:00:00.7	"A"	"900_230000009506"	"upstream"	8	1	"HDX"	"A1"	253	"536/543"	1374	356	" C "
"S"	2020-08-11 13:47:32	"G"	00:00:01.7	"A"	"900_230000009506"	"upstream"	18	0.8	"HDX"	"A1"	26	"502/512"	1373.5	345	" C "
"S"	2020-08-11 13:47:48	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	96	"481/481"	1374	319	" C "
"S"	2020-08-11 13:48:18	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	299	"423/423"	1372	315	" A "
"S"	2020-08-11 13:48:19	"G"	00:00:01.1	"A"	"900_226000584318"	"upstream"	12	1	"HDX"	"A1"	16	"435/468"	1373.5	314	" A "
"S"	2020-08-11 13:48:25	"G"	00:00:02.4	"A"	"900_226000584318"	"upstream"	25	0.9	"HDX"	"A1"	40	"451/472"	1372	328	" A "
"S"	2020-08-11 13:49:20	"G"	00:00:00.0	"A"	"900_226000584318"	"upstream"	1	1	"HDX"	"A1"	525	"480/480"	1376.5	331	" A "
"S"	2020-08-11 13:49:25	"G"	00:00:01.1	"A"	"900_226000584318"	"upstream"	12	1	"HDX"	"A1"	57	"459/484"	1373	332	" A "
"S"	2020-08-11 13:50:07	"G"	00:00:04.1	"R"	"0000_0000000168273013"	"upstream"	42	0.9	"HDX"	"A1"	401	"483/508"	1374.5	323	" E "
"S"	2020-08-11 13:50:14	"G"	00:00:00.0	"R"	"0000_0000000168273013"	"upstream"	1	0.9	"HDX"	"A1"	29	"432/432"	1372.5	312	" E "
"S"	2020-08-11 13:50:25	"G"	00:00:00.4	"R"	"0000_0000000168273013"	"upstream"	5	0.9	"HDX"	"A1"	108	"505/526"	1375.5	331	" E "
"S"	2020-08-11 13:50:27	"G"	00:00:01.1	"R"	"0000_0000000168273013"	"upstream"	12	1	"HDX"	"A1"	22	"466/477"	1373.5	323	" E "
"S"	2020-08-11 13:51:03	"G"	00:00:03.1	"A"	"900_230000009506"	"upstream"	32	0.9	"HDX"	"A1"	346	"522/538"	1371	344	" C "
"S"	2020-08-11 13:51:08	"G"	00:00:00.7	"A"	"900_230000009506"	"upstream"	8	0.8	"HDX"	"A1"	20	"513/516"	1369.5	336	" C "
"S"	2020-08-11 13:51:13	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	34	"517/517"	1372.5	344	" C "
"S"	2020-08-11 13:51:15	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	22	"506/506"	1370	339	" C "
"S"	2020-08-11 13:51:17	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	0.9	"HDX"	"A1"	18	"499/499"	1371.5	339	" C "
"S"	2020-08-11 13:51:19	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	16	"479/479"	1370	327	" C "
"S"	2020-08-11 13:51:59	"G"	00:00:00.6	"A"	"900_230000009506"	"upstream"	7	1	"HDX"	"A1"	405	"459/488"	1370.5	327	" C "
"S"	2020-08-11 13:52:11	"G"	00:00:01.7	"A"	"900_230000009506"	"upstream"	18	0.9	"HDX"	"A1"	108	"470/507"	1369.5	320	" C "
"S"	2020-08-11 13:52:16	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	32	"506/506"	1371.5	328	" C "
"S"	2020-08-11 13:52:21	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	49	"478/478"	1369	332	" C "
"S"	2020-08-11 13:52:26	"G"	00:00:00.0	"A"	"900_230000009506"	"upstream"	1	1	"HDX"	"A1"	51	"473/473"	1370	321	" C "
"S"	2020-08-11 13:53:03	"G"	00:00:05.4	"A"	"900_226000584318"	"upstream"	55	0.9	"HDX"	"A1"	366	"452/550"	1373	314	" A "
