DTY	ARR	TRF	DUR	TTY	TAG	SCD	NCD	EFA
S	2019-05-17 08:42:04.500	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 08:44:23.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:47:22.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:49:03.300	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 08:50:21.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:53:20.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:56:02.100	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 08:56:20.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 08:59:19.200	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:02:18.400	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:03:01.000	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 09:05:17.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:08:16.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:09:59.800	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 09:11:16.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:14:15.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:16:58.700	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 09:17:14.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:20:13.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:23:13.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:23:57.600	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 09:26:12.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:29:11.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:30:56.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 09:32:10.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:35:09.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:37:55.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 09:38:09.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:41:08.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:44:07.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 09:44:54.400	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 09:47:06.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:50:05.800	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:51:53.300	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 09:53:05.000	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:56:04.200	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 09:58:52.200	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 09:59:03.400	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:02:02.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:05:01.800	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:05:51.100	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 10:08:01.000	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:11:00.200	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:12:49.900	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 10:13:59.400	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:16:58.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:19:48.900	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 10:19:57.800	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:22:57.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:25:56.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:26:47.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 10:28:55.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:31:54.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:33:46.500	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 10:34:53.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:37:53.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:40:45.400	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 10:40:52.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:43:51.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:46:50.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:47:44.200	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 10:49:49.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:52:49.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 10:54:43.100	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 10:55:48.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 10:58:47.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:01:42.000	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 11:01:46.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:04:46.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:07:45.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:08:40.800	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 11:10:44.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:13:43.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:15:39.600	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 11:16:42.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:19:42.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:22:38.400	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 11:22:41.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:25:40.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:28:39.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:29:37.200	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 11:31:38.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:34:38.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:36:36.000	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 11:37:37.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:40:36.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:43:34.900	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 11:43:35.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:46:34.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:49:33.900	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:50:33.800	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 11:52:33.100	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 11:55:32.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 11:57:32.600	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 11:58:31.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:01:30.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:04:29.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:04:31.500	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:07:29.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:10:28.300	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 12:11:30.300	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:13:27.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:16:26.700	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:18:29.100	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:19:25.900	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:22:25.100	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:25:24.300	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:25:28.000	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:28:23.500	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:31:22.600	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 12:32:26.900	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:34:21.800	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 12:37:21.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:39:25.700	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:40:20.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:43:19.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:46:18.600	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:46:24.500	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:49:17.800	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:52:17.000	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:53:23.300	G	00:00:00.100	W	0000_000000005972	BRA	2	0.7
S	2019-05-17 12:55:16.200	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 12:58:15.400	G	00:00:00.100	W	0000_000000005189	BRA	2	0.7
S	2019-05-17 13:00:22.100	G	00:00:00.200	W	0000_000000005972	BRA	3	0.7
S	2019-05-17 13:01:14.500	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
S	2019-05-17 13:04:13.700	G	00:00:00.200	W	0000_000000005189	BRA	3	0.7
